	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_10_0.txt	10	0	2.78923	2.98811	3.09016	1.98312	2.87131	3.70674	3.227	2.54952	4.69717	2.19126	2.50397	2.54012	2.69425	2.74994	2.61173	1.49468	2.71746	2.2628	2.6568	1.31422	1.62655
alpha_rarefaction_10_1.txt	10	1	2.33888	1.87199	3.882	1.6907	3.67568	3.35682	3.19663	2.56233	3.49949	2.05246	2.17337	2.41253	2.51949	2.16437	2.42795	1.49468	2.01934	2.96661	3.28227	1.53694	1.62655
alpha_rarefaction_10_2.txt	10	2	3.40632	3.33354	4.46592	1.45894	4.03293	3.60941	4.61534	1.85433	3.9921	2.10933	2.24853	2.79814	2.18205	1.80215	3.00091	1.49468	3.61446	2.12892	2.3531	2.33944	1.62655
alpha_rarefaction_10_3.txt	10	3	2.87846	4.40047	3.97544	1.67481	3.6422	3.84432	4.19724	1.82321	4.18864	2.79506	2.50587	2.26439	2.12198	1.91267	2.96967	1.49468	2.89094	2.11135	2.56714	2.15214	1.49468
alpha_rarefaction_10_4.txt	10	4	3.00872	3.80445	4.22674	1.61349	3.55405	3.28595	4.07332	2.27365	3.36207	1.55798	2.83918	2.54726	1.98513	1.59662	2.37701	1.6783	2.93638	3.0722	2.65632	1.56791	1.11684
alpha_rarefaction_10_5.txt	10	5	3.75338	4.76024	3.28294	1.61835	3.347	3.41168	3.64983	2.54849	3.83729	2.31975	2.25186	2.32633	2.95679	1.84652	2.51862	1.49468	1.68989	1.98284	3.14871	1.79292	2.004
alpha_rarefaction_10_6.txt	10	6	3.68243	2.88225	3.31762	1.53708	3.63627	4.3065	4.58531	1.97288	3.511	2.1873	2.87814	2.9699	1.94704	2.32894	2.61027	1.49468	2.17392	2.44093	2.77036	2.06365	2.38184
alpha_rarefaction_10_7.txt	10	7	3.20567	4.2197	4.31525	1.47432	4.98925	5.45004	4.03468	2.09387	4.21519	2.16131	2.53743	2.46525	2.61002	1.76682	2.49695	1.72745	3.08069	1.87318	2.65446	1.85735	1.85932
alpha_rarefaction_10_8.txt	10	8	3.7953	2.8698	3.25362	1.22017	4.07747	3.56316	4.13225	1.48309	3.67715	2.24356	2.84658	2.45595	2.3593	1.91402	2.51375	1.49468	2.44698	2.4233	2.32498	1.8097	1.62655
alpha_rarefaction_10_9.txt	10	9	2.88171	3.15467	3.86635	1.26535	3.37352	3.77053	3.30379	2.77002	5.34526	1.75429	2.14341	2.22051	2.40909	2.28665	2.76076	1.49468	2.62695	2.48186	2.88843	2.1124	1.77292
alpha_rarefaction_39_0.txt	39	0	8.39857	9.1117	8.9313	3.32191	11.11701	10.77449	8.67068	2.91969	12.60395	3.38789	3.46924	4.65703	3.22439	2.4454	3.888	1.72745	5.72672	4.14174	4.02028	3.00312	2.28524
alpha_rarefaction_39_1.txt	39	1	7.90473	5.99364	8.0982	2.59716	11.04155	9.20261	8.34103	2.71327	11.97304	3.26652	4.1807	3.93578	2.96418	2.83739	3.74058	1.6783	5.07005	3.77262	3.84421	3.64214	2.23677
alpha_rarefaction_39_2.txt	39	2	8.02105	7.10866	6.70902	2.37958	10.15824	10.40196	8.99843	2.74338	10.47226	2.53988	3.49367	4.40067	2.9774	2.80723	3.94928	1.49468	4.51172	3.82273	3.60193	3.44599	3.06781
alpha_rarefaction_39_3.txt	39	3	8.95943	9.01575	6.7839	3.54593	10.86505	9.33118	8.16739	3.29004	10.64211	3.39171	4.99703	3.59419	3.2565	2.72024	4.49743	2.02817	3.84199	3.33709	3.91893	2.93995	2.00439
alpha_rarefaction_39_4.txt	39	4	8.27862	5.8614	8.59275	2.37829	10.34503	9.18044	7.40897	2.75773	9.32932	2.36225	5.03586	4.73475	3.11669	3.27858	2.88052	2.14644	4.84069	3.57057	3.96759	3.3775	2.63502
alpha_rarefaction_39_5.txt	39	5	7.597	7.33266	11.2546	3.37157	10.90081	10.30567	8.8389	2.54849	10.00941	2.96838	4.10495	4.63414	3.62718	3.21068	4.4124	1.6783	4.91068	3.32287	4.85104	2.56484	2.89644
alpha_rarefaction_39_6.txt	39	6	6.66834	7.6508	7.58551	3.19436	10.58955	8.84523	9.88228	2.86294	11.58054	2.65802	3.92679	4.78114	2.7912	2.50785	4.56455	2.45499	4.42881	3.56659	3.73244	2.61913	2.23677
alpha_rarefaction_39_7.txt	39	7	8.80684	7.59665	9.34719	2.46629	8.99747	8.40258	8.0635	2.54952	10.24055	2.53322	4.10719	5.30862	3.5714	3.20488	5.57571	1.72745	4.97306	3.13405	4.582	3.24444	3.04797
alpha_rarefaction_39_8.txt	39	8	8.8438	7.08186	9.0973	2.81976	10.75686	9.33318	7.74619	2.80699	10.9723	2.77482	4.63996	4.03285	3.27863	2.76118	4.47792	1.91107	5.37034	3.72689	4.59823	3.27605	2.47618
alpha_rarefaction_39_9.txt	39	9	8.43612	6.43457	9.14346	4.4253	10.27195	9.33629	9.58159	2.40312	12.48237	3.29783	3.56302	4.83663	3.22433	3.42031	4.41302	1.93173	4.13117	3.05202	3.78915	3.36479	2.29015
alpha_rarefaction_68_0.txt	68	0	11.35116	11.05304	14.35937	4.49239	15.28254	14.39779	13.41763	2.72252	16.76704	3.54862	4.64551	4.98052	3.32647	3.37753	5.58701	2.00536	7.1488	4.08893	5.77893	3.70884	2.44994
alpha_rarefaction_68_1.txt	68	1	12.27002	10.55679	13.42737	4.09014	13.80852	16.12433	12.72893	3.21668	14.97786	3.22663	3.917	5.43236	3.5897	3.43166	4.69552	1.95621	6.77167	4.75237	5.46257	3.52249	2.84317
alpha_rarefaction_68_2.txt	68	2	11.02128	9.39053	11.8742	3.31975	15.63479	14.48373	12.13981	2.57174	16.5877	3.42548	4.76153	5.05126	3.20637	3.43765	5.94919	1.91107	5.65129	3.70892	5.54097	3.552	2.90076
