	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_10_0.txt	10	0	22.0	29.0	29.0	8.5	23.0	55.0	23.0	7.0	55.0	7.0	12.0	12.0	13.0	13.0	9.0	2.0	8.5	16.0	22.0	2.0	2.0
alpha_rarefaction_10_1.txt	10	1	29.0	16.0	55.0	6.5	23.0	55.0	23.0	22.0	55.0	8.0	5.0	13.0	7.0	13.0	6.5	2.0	8.0	22.0	13.0	4.0	2.0
alpha_rarefaction_10_2.txt	10	2	23.0	13.0	55.0	7.0	29.0	23.0	55.0	3.0	55.0	6.5	4.0	13.0	4.5	5.33333333333	11.0	2.0	23.0	8.0	9.0	7.0	2.0
alpha_rarefaction_10_3.txt	10	3	23.0	23.0	55.0	22.0	55.0	55.0	23.0	3.0	23.0	11.0	6.5	5.5	9.0	6.2	23.0	2.0	13.0	8.5	22.0	11.0	2.0
alpha_rarefaction_10_4.txt	10	4	29.0	12.0	55.0	11.0	55.0	55.0	23.0	5.33333333333	55.0	3.0	4.5	12.0	4.0	5.5	12.0	3.0	23.0	12.0	23.0	4.0	1.0
alpha_rarefaction_10_5.txt	10	5	13.0	55.0	23.0	4.5	16.0	23.0	22.0	22.0	23.0	9.0	4.0	6.5	13.0	4.0	12.0	2.0	22.0	13.0	13.0	3.0	3.0
alpha_rarefaction_10_6.txt	10	6	55.0	13.0	23.0	16.0	55.0	23.0	23.0	7.0	55.0	5.5	8.0	23.0	4.5	13.0	12.0	2.0	9.0	22.0	29.0	5.0	4.5
alpha_rarefaction_10_7.txt	10	7	22.0	23.0	55.0	5.0	55.0	55.0	23.0	4.5	55.0	6.5	4.0	12.0	12.0	12.0	9.0	3.0	23.0	8.0	13.0	4.0	4.0
alpha_rarefaction_10_8.txt	10	8	22.0	6.5	23.0	7.0	55.0	16.0	55.0	4.0	55.0	6.5	7.0	9.0	7.0	9.0	8.5	2.0	9.0	7.0	9.0	4.0	2.0
alpha_rarefaction_10_9.txt	10	9	23.0	55.0	55.0	16.0	29.0	55.0	23.0	12.0	55.0	7.0	3.0	9.0	5.5	12.0	13.0	2.0	23.0	12.0	13.0	5.0	3.0
