	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_10_0.txt	10	0	7.0	8.0	8.0	7.0	9.0	10.0	9.0	6.0	10.0	6.0	6.0	7.0	8.0	8.0	6.0	2.0	7.0	6.0	7.0	2.0	2.0
alpha_rarefaction_10_1.txt	10	1	8.0	6.0	10.0	5.0	9.0	10.0	9.0	7.0	10.0	5.0	4.0	8.0	6.0	8.0	5.0	2.0	5.0	7.0	8.0	3.0	2.0
alpha_rarefaction_10_2.txt	10	2	9.0	8.0	10.0	4.0	8.0	9.0	10.0	3.0	10.0	5.0	4.0	8.0	4.0	5.0	5.0	2.0	9.0	5.0	6.0	4.0	2.0
alpha_rarefaction_10_3.txt	10	3	9.0	9.0	10.0	7.0	10.0	10.0	9.0	3.0	9.0	5.0	5.0	5.0	6.0	6.0	9.0	2.0	8.0	7.0	7.0	5.0	2.0
alpha_rarefaction_10_4.txt	10	4	8.0	7.0	10.0	5.0	10.0	10.0	9.0	5.0	10.0	3.0	4.0	7.0	4.0	5.0	6.0	3.0	9.0	7.0	9.0	3.0	1.0
alpha_rarefaction_10_5.txt	10	5	8.0	10.0	9.0	4.0	6.0	9.0	7.0	7.0	9.0	6.0	4.0	5.0	8.0	4.0	7.0	2.0	7.0	8.0	8.0	3.0	3.0
alpha_rarefaction_10_6.txt	10	6	10.0	8.0	9.0	6.0	10.0	9.0	9.0	4.0	10.0	5.0	5.0	9.0	4.0	8.0	7.0	2.0	6.0	7.0	8.0	4.0	4.0
alpha_rarefaction_10_7.txt	10	7	7.0	9.0	10.0	4.0	10.0	10.0	9.0	4.0	10.0	5.0	4.0	7.0	7.0	6.0	6.0	3.0	9.0	5.0	8.0	3.0	3.0
alpha_rarefaction_10_8.txt	10	8	7.0	5.0	9.0	4.0	10.0	6.0	10.0	3.0	10.0	5.0	6.0	6.0	6.0	6.0	7.0	2.0	6.0	6.0	6.0	3.0	2.0
alpha_rarefaction_10_9.txt	10	9	9.0	10.0	10.0	6.0	8.0	10.0	9.0	6.0	10.0	4.0	3.0	6.0	5.0	6.0	8.0	2.0	9.0	7.0	8.0	4.0	3.0
alpha_rarefaction_39_0.txt	39	0	30.0	28.0	34.0	11.0	35.0	37.0	30.0	7.0	34.0	10.0	9.0	16.0	12.0	11.0	14.0	3.0	20.0	14.0	17.0	7.0	4.0
alpha_rarefaction_39_1.txt	39	1	30.0	21.0	34.0	12.0	34.0	34.0	29.0	10.0	38.0	11.0	11.0	13.0	11.0	9.0	12.0	3.0	20.0	14.0	16.0	7.0	4.0
alpha_rarefaction_39_2.txt	39	2	23.0	26.0	28.0	10.0	35.0	35.0	31.0	9.0	36.0	9.0	10.0	15.0	8.0	12.0	14.0	2.0	16.0	14.0	14.0	9.0	7.0
alpha_rarefaction_39_3.txt	39	3	32.0	33.0	30.0	13.0	34.0	36.0	31.0	10.0	29.0	12.0	14.0	15.0	13.0	12.0	16.0	4.0	15.0	13.0	16.0	10.0	3.0
alpha_rarefaction_39_4.txt	39	4	27.0	24.0	32.0	9.0	31.0	32.0	26.0	9.0	35.0	6.0	15.0	16.0	12.0	11.0	11.0	5.0	17.0	12.0	15.0	9.0	5.0
alpha_rarefaction_39_5.txt	39	5	28.0	30.0	37.0	15.0	31.0	37.0	29.0	7.0	34.0	8.0	10.0	15.0	16.0	12.0	13.0	3.0	19.0	14.0	16.0	7.0	6.0
alpha_rarefaction_39_6.txt	39	6	24.0	24.0	33.0	13.0	35.0	31.0	31.0	10.0	36.0	9.0	12.0	17.0	9.0	10.0	16.0	4.0	18.0	16.0	15.0	7.0	4.0
alpha_rarefaction_39_7.txt	39	7	30.0	26.0	34.0	9.0	32.0	34.0	31.0	6.0	36.0	7.0	11.0	18.0	14.0	14.0	17.0	3.0	19.0	11.0	15.0	9.0	6.0
alpha_rarefaction_39_8.txt	39	8	29.0	25.0	32.0	11.0	32.0	35.0	25.0	8.0	35.0	10.0	11.0	14.0	12.0	13.0	15.0	4.0	17.0	12.0	20.0	9.0	5.0
alpha_rarefaction_39_9.txt	39	9	29.0	24.0	35.0	17.0	35.0	32.0	31.0	6.0	37.0	10.0	8.0	17.0	12.0	14.0	15.0	5.0	18.0	13.0	16.0	11.0	4.0
alpha_rarefaction_68_0.txt	68	0	47.0	40.0	57.0	20.0	60.0	64.0	51.0	9.0	60.0	12.0	13.0	19.0	14.0	16.0	21.0	4.0	30.0	17.0	24.0	13.0	5.0
alpha_rarefaction_68_1.txt	68	1	47.0	41.0	55.0	20.0	55.0	60.0	58.0	13.0	54.0	9.0	9.0	22.0	13.0	13.0	19.0	4.0	29.0	17.0	20.0	10.0	6.0
alpha_rarefaction_68_2.txt	68	2	45.0	35.0	54.0	17.0	55.0	62.0	49.0	9.0	57.0	12.0	16.0	23.0	13.0	16.0	22.0	4.0	25.0	15.0	23.0	12.0	6.0
alpha_rarefaction_68_3.txt	68	3	40.0	39.0	53.0	18.0	54.0	61.0	54.0	11.0	60.0	13.0	14.0	22.0	15.0	19.0	18.0	3.0	26.0	16.0	24.0	12.0	5.0
alpha_rarefaction_68_4.txt	68	4	51.0	43.0	59.0	15.0	53.0	57.0	49.0	12.0	62.0	12.0	17.0	18.0	12.0	15.0	19.0	4.0	22.0	18.0	24.0	11.0	5.0
