	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
E3.7.Pav.vari.1.20150124.T	0.0	0.815784172236	0.83688468381	0.936507851541	0.777672152946	0.827555140018	0.810528973654	0.95828675368	0.797929140074	0.956684124779	0.893763797044	0.917117793673	0.950886701575	0.955722792987	0.86253852365	0.961637760422	0.923009160306	0.921185325135	0.900259228631	0.935510434351	0.957671272615
E3.5.Gal.astr.1.20150124.T	0.815784172236	0.0	0.851491862821	0.904955744619	0.850064420201	0.860902397951	0.846362278035	0.935294763149	0.841697479891	0.947716127065	0.900008118149	0.900821207247	0.916967551889	0.942436913284	0.822645854556	0.939256058066	0.899033497568	0.902701488621	0.861353428036	0.905459625811	0.940700358759
E1.5.Gal.astr.1.20140728.T	0.83688468381	0.851491862821	0.0	0.951502561039	0.857699814419	0.786962534845	0.85347157556	0.972070985647	0.796095542335	0.96368607755	0.931623153358	0.923899220008	0.967756654506	0.968912503267	0.888121242469	0.964868648784	0.929905771585	0.93797057975	0.92517678691	0.938038386046	0.958521379573
E7.6.Acr.hyac.3.20150622.T	0.936507851541	0.904955744619	0.951502561039	0.0	0.939750548329	0.948845418739	0.949668494541	0.746611030636	0.945222983424	0.757141153681	0.815001409456	0.796619488474	0.788164101497	0.769241541317	0.801709994784	0.773352353016	0.808724232138	0.78534510182	0.762823575006	0.727385216347	0.837276502918
E3.7.Pav.vari.2.20150124.T	0.777672152946	0.850064420201	0.857699814419	0.939750548329	0.0	0.765439713335	0.787742198624	0.950613559911	0.79028158967	0.952624806731	0.90724427256	0.906251019028	0.950191277649	0.959411945085	0.885929534732	0.957427875392	0.91487174019	0.904553665008	0.896360226116	0.933062835637	0.953385163399
E1.7.Pav.vari.1.20140805.T	0.827555140018	0.860902397951	0.786962534845	0.948845418739	0.765439713335	0.0	0.829576773391	0.963586785	0.774106213265	0.965522723797	0.926849882107	0.91582639044	0.965171029186	0.961106900585	0.89518106635	0.961267127022	0.922377758066	0.940191339117	0.923438088991	0.931348704929	0.963014559484
E7.7.Pav.vari.2.20150622.T	0.810528973654	0.846362278035	0.85347157556	0.949668494541	0.787742198624	0.829576773391	0.0	0.966400278171	0.797800456529	0.958036475466	0.917277704413	0.921446438353	0.966756112516	0.960088656853	0.886903635066	0.952445358943	0.918952747456	0.936351660133	0.922711135644	0.925626812506	0.93946865556
E3.6.Acr.hyac.4.20150105.T	0.95828675368	0.935294763149	0.972070985647	0.746611030636	0.950613559911	0.963586785	0.966400278171	0.0	0.970253824795	0.662520085245	0.856379409452	0.792131056676	0.681610532502	0.629509876055	0.850791826999	0.789973089155	0.813016256925	0.754085857361	0.80449338045	0.830155912479	0.846322954622
E1.5.Gal.astr.1.20140905.T	0.797929140074	0.841697479891	0.796095542335	0.945222983424	0.79028158967	0.774106213265	0.797800456529	0.970253824795	0.0	0.958161385967	0.917123169284	0.918260705609	0.969304864963	0.965403642534	0.890702341707	0.96499574161	0.928174751738	0.932598400711	0.922934610127	0.949600615848	0.952927253963
E3.6.Acr.hyac.4.20150106.T	0.956684124779	0.947716127065	0.96368607755	0.757141153681	0.952624806731	0.965522723797	0.958036475466	0.662520085245	0.958161385967	0.0	0.876136921976	0.802179832122	0.788604059392	0.644507523731	0.867372959735	0.77412853525	0.849148411839	0.818338783893	0.867529629097	0.837918535434	0.811351067318
