	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
E3.7.Pav.vari.1.20150124.T	0.0	0.401757066667	0.5493262	0.438886266667	0.481286366667	0.508140733333	0.5167756	0.6803571	0.481706133333	0.698096233333	0.6097093	0.45395	0.610214166667	0.672972033333	0.5526775	0.5667938	0.600753033333	0.662762766667	0.556820166667	0.683768666667	0.577239966667
E3.5.Gal.astr.1.20150124.T	0.401757066667	0.0	0.669518533333	0.441767133333	0.5651509	0.624635733333	0.6114542	0.691995033333	0.622704866667	0.7310849	0.609265633333	0.4483994	0.592898366667	0.7248681	0.6417553	0.5540842	0.6679005	0.728026833333	0.5903499	0.718119733333	0.565954566667
E1.5.Gal.astr.1.20140728.T	0.5493262	0.669518533333	0.0	0.663633533333	0.6549899	0.4538952	0.5267296	0.767056166667	0.497308266667	0.774429633333	0.838898366667	0.647652533333	0.7485663	0.725713833333	0.622845166667	0.779135133333	0.6419025	0.686963566667	0.6608791	0.730519	0.792090766667
E7.6.Acr.hyac.3.20150622.T	0.438886266667	0.441767133333	0.663633533333	0.0	0.6470065	0.681464266667	0.6915002	0.593782833333	0.683555266667	0.6046311	0.359018833333	0.425932466667	0.525555766667	0.5792223	0.5583341	0.382615533333	0.5711137	0.6257449	0.528540433333	0.623618	0.330056033333
E3.7.Pav.vari.2.20150124.T	0.481286366667	0.5651509	0.6549899	0.6470065	0.0	0.469938433333	0.498031433333	0.751183533333	0.5439529	0.7761608	0.783994133333	0.597053766667	0.719710266667	0.793928666667	0.7195144	0.729668366667	0.746384733333	0.783923266667	0.661684266667	0.769649366667	0.742263333333
E1.7.Pav.vari.1.20140805.T	0.508140733333	0.624635733333	0.4538952	0.681464266667	0.469938433333	0.0	0.480337866667	0.7775567	0.467907533333	0.796672033333	0.850258366667	0.6572718	0.771048766667	0.757816633333	0.651367566667	0.794621733333	0.678749433333	0.738162966667	0.6511433	0.737562666667	0.810549233333
E7.7.Pav.vari.2.20150622.T	0.5167756	0.6114542	0.5267296	0.6915002	0.498031433333	0.480337866667	0.0	0.764656566667	0.4555438	0.7620649	0.846197633333	0.6343046	0.753136833333	0.7529995	0.6853823	0.782420533333	0.7219051	0.744071633333	0.686489233333	0.7332152	0.7927139
E3.6.Acr.hyac.4.20150105.T	0.6803571	0.691995033333	0.767056166667	0.593782833333	0.751183533333	0.7775567	0.764656566667	0.0	0.769507166667	0.2583702	0.730153133333	0.559781366667	0.369920533333	0.3238816	0.6303204	0.7109821	0.636833666667	0.391942066667	0.409112666667	0.713405033333	0.723171066667
E1.5.Gal.astr.1.20140905.T	0.481706133333	0.622704866667	0.497308266667	0.683555266667	0.5439529	0.467907533333	0.4555438	0.769507166667	0.0	0.7698301	0.846270166667	0.6285314	0.756414766667	0.739388033333	0.646645166667	0.792794866667	0.692996433333	0.718706366667	0.661457433333	0.743938866667	0.801497366667
E3.6.Acr.hyac.4.20150106.T	0.698096233333	0.7310849	0.774429633333	0.6046311	0.7761608	0.796672033333	0.7620649	0.2583702	0.7698301	0.0	0.779402733333	0.6169285	0.4404126	0.2436746	0.649023933333	0.7323423	0.660746133333	0.428306066667	0.511455333333	0.724963566667	0.739663666667
E7.10.Ser.cali.1.20150622.T	0.6097093	0.609265633333	0.838898366667	0.359018833333	0.783994133333	0.850258366667	0.846197633333	0.730153133333	0.846270166667	0.779402733333	0.0	0.5537453	0.6835478	0.811069066667	0.771834333333	0.5166623	0.699222466667	0.799650133333	0.70256	0.7634027	0.450889266667
E10.Ser.cali.3.20150627.T	0.45395	0.4483994	0.647652533333	0.425932466667	0.597053766667	0.6572718	0.6343046	0.559781366667	0.6285314	0.6169285	0.5537453	0.0	0.4947833	0.654982233333	0.623762833333	0.505065533333	0.5965201	0.629891766667	0.530266966667	0.662043866667	0.512514633333
E7.6.Acr.hyac.1.20150622.T	0.610214166667	0.592898366667	0.7485663	0.525555766667	0.719710266667	0.771048766667	0.753136833333	0.369920533333	0.756414766667	0.4404126	0.6835478	0.4947833	0.0	0.4733926	0.624496066667	0.639985433333	0.6365154	0.450860333333	0.407692	0.701325166667	0.649920333333
E7.6.Acr.hyac.2.20150622.T	0.672972033333	0.7248681	0.725713833333	0.5792223	0.793928666667	0.757816633333	0.7529995	0.3238816	0.739388033333	0.2436746	0.811069066667	0.654982233333	0.4733926	0.0	0.599186	0.761115966667	0.6096494	0.359225933333	0.472049866667	0.722426966667	0.773334666667
E7.10.Poc.dami.3.20150621.T	0.5526775	0.6417553	0.622845166667	0.5583341	0.7195144	0.651367566667	0.6853823	0.6303204	0.646645166667	0.649023933333	0.771834333333	0.623762833333	0.624496066667	0.599186	0.0	0.710967233333	0.414859733333	0.517050133333	0.5400718	0.664573433333	0.73246
E10.Poc.dami.1.20150628.T	0.5667938	0.5540842	0.779135133333	0.382615533333	0.729668366667	0.794621733333	0.782420533333	0.7109821	0.792794866667	0.7323423	0.5166623	0.505065533333	0.639985433333	0.761115966667	0.710967233333	0.0	0.6973155	0.764022033333	0.667977966667	0.475172866667	0.295879966667
E7.10.Ser.cali.3.20150622.T	0.600753033333	0.6679005	0.6419025	0.5711137	0.746384733333	0.678749433333	0.7219051	0.636833666667	0.692996433333	0.660746133333	0.699222466667	0.5965201	0.6365154	0.6096494	0.414859733333	0.6973155	0.0	0.5594116	0.5446312	0.614970033333	0.7282356
E7.10.Poc.dami.1.20150621.T	0.662762766667	0.728026833333	0.686963566667	0.6257449	0.783923266667	0.738162966667	0.744071633333	0.391942066667	0.718706366667	0.428306066667	0.799650133333	0.629891766667	0.450860333333	0.359225933333	0.517050133333	0.764022033333	0.5594116	0.0	0.448598333333	0.711870633333	0.782901533333
E7.10.Poc.dami.2.20150621.T	0.556820166667	0.5903499	0.6608791	0.528540433333	0.661684266667	0.6511433	0.686489233333	0.409112666667	0.661457433333	0.511455333333	0.70256	0.530266966667	0.407692	0.472049866667	0.5400718	0.667977966667	0.5446312	0.448598333333	0.0	0.642235966667	0.686225133333
E7.10.Ser.cali.2.20150622.T	0.683768666667	0.718119733333	0.730519	0.623618	0.769649366667	0.737562666667	0.7332152	0.713405033333	0.743938866667	0.724963566667	0.7634027	0.662043866667	0.701325166667	0.722426966667	0.664573433333	0.475172866667	0.614970033333	0.711870633333	0.642235966667	0.0	0.7572847
